source,target,weight
1252256,1078882,1
1252256,1082540,1
1252256,1101596,1
1252256,1102834,1
1252256,1107079,1
1252256,1119780,1
1252256,1125979,1
1252256,1126592,1
1252256,1127044,1
1252256,1130655,1
1252256,1132137,1
1252256,1149458,1
1252256,1151807,1
1252256,1153702,1
1252256,1161443,1
1252256,1176133,1
1252256,1177734,1
1252256,1180609,1
1252256,1189226,1
1252256,1189589,1
1252256,1204813,1
1252256,1221904,1
1252256,1222131,1
1252256,1223539,1
1252256,1231739,1
1252256,1232312,1
1252256,1233640,1
1252256,1233680,1
1252256,1239668,1
1252256,1240922,1
1252256,1249013,1
1252256,1249910,1
1252256,1252229,1
1252256,1255149,1
1252256,1255669,1
1252256,1262759,1
1252256,1264635,1
1252256,1265148,1
1252256,1270667,1
1252256,1275187,1
1252256,1284311,1
1252256,1288247,1
1252256,1288601,1
1252256,1296015,1
1252256,1301930,1
1252256,1303649,1
1252256,1304866,1
1252256,1311397,1
1252256,1317358,1
1252256,1322371,1
1252256,1328713,1
1252256,1336244,1
1252256,1343536,1
1252256,1348260,1
1252256,1351840,1
1252256,1358715,1
1252256,1359943,1
1252256,1363589,1
1252256,1366058,1
181273806,1252256,1
1400689,46999,1
1400689,142260,1
1400689,316147,1
1400689,341293,1
1400689,385434,1
1400689,477275,1
1400689,479436,1
1400689,629452,1
1400689,659933,1
1400689,682157,1
1400689,696065,1
1400689,721327,1
1400689,730795,1
1400689,740341,1
1400689,747895,1
1400689,752599,1
1400689,812193,1
1400689,838317,1
1400689,858603,1
1400689,859412,1
1400689,995161,1
1400689,1019437,1
1400689,1033978,1
1400689,1102391,1
1400689,1103740,1
1400689,1115119,1
1400689,1126610,1
1400689,1152598,1
1400689,1154154,1
1400689,1222831,1
1400689,1262010,1
1400689,1266006,1
1400689,1359478,1
1400689,1373253,1
1400689,1389778,1
1400689,1389904,1
1400689,1412752,1
1400689,1444362,1
1400689,1473920,1
1400689,1524826,1
1400689,1561313,1
1400689,1593240,1
1400689,1599025,1
1400689,1603914,1
1400689,1621076,1
1400689,1692050,1
1400689,1707826,1
1400689,1746958,1
1400689,1752403,1
1400689,1795313,1
1400689,1796191,1
1400689,1813031,1
1400689,1861206,1
1400689,1896479,1
1400689,1911253,1
1400689,1915657,1
1400689,1926716,1
1400689,1966873,1
1400689,2002577,1
1400689,2004448,1
1400689,2105440,1
1400689,2107396,1
1400689,2146428,1
1400689,2159563,1
1400689,2167702,1
1400689,2172499,1
1400689,2179665,1
1400689,2195791,1
1400689,2213134,1
1400689,2252971,1
1400689,2334532,1
1400689,2356750,1
1400689,2370219,1
1400689,2403958,1
1400689,2503394,1
1400689,2509425,1
1400689,2600301,1
1400689,2604998,1
1400689,2656061,1
1400689,2658266,1
1400689,2695854,1
1400689,2700775,1
1400689,2725124,1
1400689,2751531,1
1400689,2786835,1
1400689,2800807,1
1400689,2828132,1
1400689,2872827,1
1400689,2933540,1
1400689,2940795,1
1400689,2969959,1
1400689,3008788,1
1400689,3041127,1
1400689,3068177,1
1400689,3077781,1
1400689,3098239,1
1400689,3104240,1
1400689,3125126,1
1400689,3141996,1
1400689,3220860,1
1400689,3224176,1
1400689,3246100,1
1400689,3308807,1
1400689,3319781,1
1400689,3363256,1
1400689,3364448,1
1400689,3368723,1
1400689,3390929,1
1400689,3475208,1
1400689,3514128,1
1400689,3566488,1
1400689,3608389,1
1400689,3610782,1
1400689,3745141,1
1400689,3752225,1
1400689,3770828,1
1400689,3843100,1
1400689,3939884,1
1400689,4053471,1
1400689,4098916,1
1400689,4137747,1
1400689,4157345,1
1400689,4227250,1
1400689,4268013,1
1400689,4285202,1
1400689,4308947,1
1400689,4344408,1
1400689,4358164,1
1400689,4419081,1
1400689,4432010,1
1400689,4566530,1
1400689,4592269,1
1400689,4592766,1
1400689,4602135,1
1400689,4674476,1
1400689,4721179,1
1400689,4729860,1
1400689,4745240,1
1400689,4826179,1
1400689,4826767,1
1400689,4866371,1
1400689,4923978,1
1400689,5111875,1
1400689,5210972,1
1400689,5212505,1
1400689,5775492,1
1400689,5824426,1
1400689,5858750,1
1400689,5862200,1
1400689,5929185,1
1400689,6050647,1
1400689,6343652,1
1400689,6376941,1
1400689,6420236,1
1400689,6756853,1
1400689,6820503,1
1400689,6892773,1
1400689,7107696,1
1400689,7137289,1
1400689,7319355,1
1400689,7508264,1
1400689,7524079,1
1400689,7808896,1
1400689,7966540,1
1400689,7969242,1
1400689,8170176,1
1400689,8274435,1
1400689,8289043,1
1400689,8348341,1
1400689,8439218,1
1400689,8711424,1
1400689,8929063,1
1400689,9005658,1
1400689,9024949,1
1400689,9042014,1
1400689,9092854,1
1400689,9268671,1
1400689,9361482,1
1400689,9760551,1
1400689,9777263,1
1400689,9818457,1
1400689,10223953,1
1400689,10353782,1
1400689,10893237,1
1400689,11040435,1
1400689,11569144,1
1400689,11877262,1
1400689,11893490,1
1400689,12348295,1
1400689,12756488,1
1400689,13317585,1
1400689,13603815,1
1400689,13838342,1
1400689,13917010,1
1400689,14320523,1
